NN	lex_rus	lang	class	lex_nd	erg	gen	dat	PL	first_cons	first_vowel	lex_rus_sem	compound	semantics_KK	semantics_KK_detailed	comm
2	лоб	чамг	4	haʟ'a	-di			haʟ'-ib	h				тело (человека, животного)	голова и шея	
2	лоб	инх	3	ʟ'oq'1o	-s			-bo	ʟ'				тело (человека, животного)	голова и шея	
2	лоб	бежт	4	mät'ä		-š		-rö	m				тело (человека, животного)	голова и шея	
2	лоб	бежх	4	mat'a		-s		-ro	m				тело (человека, животного)	голова и шея	
2	лоб	гунз	4	mat'a		-li-s		-r	m				тело (человека, животного)	голова и шея	
2	лоб	цез	3	ʟ'oq'1o		-s		-bi	ʟ'				тело (человека, животного)	голова и шея	
2	лоб	гин	3	ʟ'oq'o		-s			ʟ'				тело (человека, животного)	голова и шея	
2	лоб	лак	3	ni1tːa-bak'					n		|плоская голова|	1	тело (человека, животного)	голова и шея	
2	лоб	арч	4	nodo	-li			-tːu	n				тело (человека, животного)	голова и шея	
2	лоб	рутл	4	bel	-i-r			-bɨr	b				тело (человека, животного)	голова и шея	
2	лоб	цах	3	liǧa			-j-ɨ-s // liǧaː-s		l				тело (человека, животного)	голова и шея	
2	лоб	цахг	3	liga					l				тело (человека, животного)	голова и шея	
2	лоб	цахц	3	liga					l				тело (человека, животного)	голова и шея	
2	лоб	крыз	4	bel		-lä		-im	b				тело (человека, животного)	голова и шея	
2	лоб	буд	4	bejin			-ǯi-z	bejim-be-r	b				тело (человека, животного)	голова и шея	
2	лоб	хин	4	q'ašq'alɨʁ	-i			-ɨrdɨr	q'				тело (человека, животного)	голова и шея	
3	глаз	анд	5	hark'u	-llo-di			-obi-l	h				тело (человека, животного)	голова и шея	
3	глаз	чам	3	hač'a	hač'-i-d			-be	h				тело (человека, животного)	голова и шея	
3	глаз	чамг	3	haj	haj-di // ha-du-di			ha-bi	h				тело (человека, животного)	голова и шея	
3	глаз	инх	3	ezol		ezal-a-s		ezal-a-ba		e			тело (человека, животного)	голова и шея	
3	глаз	бежт	4	ʜäre		ʜä-š		-dä	ʜ				тело (человека, животного)	голова и шея	
3	глаз	бежх	4	häre		hä-š // häre-li-s		-da	h				тело (человека, животного)	голова и шея	
3	глаз	гунз	4	hare		ha-s		har-ur	h				тело (человека, животного)	голова и шея	
3	глаз	цез	4	oziri // oziru		oziri-s // oz-e-s		ozir-a-bi		o			тело (человека, животного)	голова и шея	
3	глаз	гин	4	ižej		iže-ra-s				i			тело (человека, животного)	голова и шея	
3	глаз	лак	3	ja		-ni-l		-ru	j				тело (человека, животного)	голова и шея	
3	глаз	арч	3	lur	lul-li // lur-čaj			-um	l				тело (человека, животного)	голова и шея	
3	глаз	рутл	3	ul	-i-r			-abɨr		u			тело (человека, животного)	голова и шея	
3	глаз	цах	3	uly		-e-n		-opːɨ // -epːɨ		u			тело (человека, животного)	голова и шея	
3	глаз	цахг	3	uly						u			тело (человека, животного)	голова и шея	
3	глаз	цахц	3	uly						u			тело (человека, животного)	голова и шея	
3	глаз	крыз	3	ʕül		-i		-im	ʕ				тело (человека, животного)	голова и шея	
3	глаз	буд	3	ʕül			-ü-z	-ümbe-r	ʕ				тело (человека, животного)	голова и шея	
3	глаз	хин	3	pil	pt-i			pt-or // pt-ordur	p				тело (человека, животного)	голова и шея	
4	ресница	анд	5	nidu	-llo-di			nid-obi-l	n				тело (человека, животного)	голова и шея	
4	ресница	чам	NA	NA									тело (человека, животного)	голова и шея	
4	ресница	чамг	4	haduʟ čaj					h		|глаза волос|	1	тело (человека, животного)	голова и шея	
4	ресница	инх	4	ezas kõ						e	|глаза волос|	1	тело (человека, животного)	голова и шея	
4	ресница	бежт	4	c'ic'		-li-s		-la	c'		=бровь		тело (человека, животного)	голова и шея	
4	ресница	бежх	4	c'ic'		-la-s		-bo	c'				тело (человека, животного)	голова и шея	
4	ресница	гунз	4	c'ɨc'		-li-s		-la	c'		=бровь		тело (человека, животного)	голова и шея	
4	ресница	цез	4	c'ec'		-mo-s		-re-bi	c'		=бровь		тело (человека, животного)	голова и шея	
4	ресница	гин	4	c'ec'		-ra-s			c'		=бровь		тело (человека, животного)	голова и шея	
4	ресница	лак	NA	NA									тело (человека, животного)	голова и шея	
4	ресница	арч	4	lullin cal					l		|глаза крыло|	1	тело (человека, животного)	голова и шея	
4	ресница	рутл	4	ʁ1ɨbri	-je-r			-bɨr	ʁ				тело (человека, животного)	голова и шея	
4	ресница	цах	3	kilypiky			-ɨ-s	-bɨ	k				тело (человека, животного)	голова и шея	
4	ресница	цахг	3	kirpiky					k				тело (человека, животного)	голова и шея	
4	ресница	цахц	4	kirpiky					k				тело (человека, животного)	голова и шея	
4	ресница	крыз	4	c'äp' // c'äp		c'äp'-il		c'äp'-ri	c'				тело (человека, животного)	голова и шея	
4	ресница	буд	4	ʕüla kirpig			-ǯi-z	-er	ʕ			1	тело (человека, животного)	голова и шея	
4	ресница	хин	3	ninig	-i			-indir	n				тело (человека, животного)	голова и шея	
5	бровь	анд	5	lensːib	-u-di			-o-l	l				тело (человека, животного)	голова и шея	
5	бровь	чам	3	ʟ'esːal	-d			-di	ʟ'				тело (человека, животного)	голова и шея	
5	бровь	чамг	5	ʟ'esːan	a-di			-nu	ʟ'				тело (человека, животного)	голова и шея	
5	бровь	инх	4	esser		-a-s		-a-ba		e			тело (человека, животного)	голова и шея	
5	бровь	бежт	4	c'ic'					c'				тело (человека, животного)	голова и шея	
5	бровь	бежх	4	häq'wä		-š // -li-s		-rö	h				тело (человека, животного)	голова и шея	
5	бровь	гунз	4	c'ɨc'		-li-s		-la	c'				тело (человека, животного)	голова и шея	
5	бровь	цез	4	c'ec'		-mo-s		-re-bi	c'				тело (человека, животного)	голова и шея	
5	бровь	гин	4	c'ec'		-ra-s			c'				тело (человека, животного)	голова и шея	
5	бровь	лак	4	itːa-c'ani		itːa-c'an-tːu-l		itːa-c'an-tːu		i	|гласница + c'ani|	1	тело (человека, животного)	голова и шея	
5	бровь	арч	4	darc'ːan	-ni			darc'ːam-mul	d				тело (человека, животного)	голова и шея	
5	бровь	рутл	4	ɢač	-ilɨ-r			-bɨr	ɢ				тело (человека, животного)	голова и шея	
5	бровь	цах	3	ɢaš			-ɨ-s	-bɨ	ɢ				тело (человека, животного)	голова и шея	
5	бровь	цахг	3	ɢaš					ɢ				тело (человека, животного)	голова и шея	
5	бровь	цахц	3	ɢaš					ɢ				тело (человека, животного)	голова и шея	
5	бровь	крыз	4	ʕülc'äm		-ǯi		-är	ʕ				тело (человека, животного)	голова и шея	
5	бровь	буд	4	ɢaš			-ɨnɨ-z	-ri	ɢ				тело (человека, животного)	голова и шея	
5	бровь	хин	3	k'ɨǧ	k'ɨǧy-i			-ɨrdɨr	k'				тело (человека, животного)	голова и шея	
6	ухо	анд	5	hant'ik'a	hant'ik'-u-di			hant'ik'-obi-l	h				тело (человека, животного)	голова и шея	
6	ухо	чам	4	anna	-d			-be		a			тело (человека, животного)	голова и шея	
6	ухо	чамг	4	hanč'a	-di			hanč'-ib	h				тело (человека, животного)	голова и шея	
6	ухо	инх	4	ã1ha		-s		-ba		ã1			тело (человека, животного)	голова и шея	
6	ухо	бежт	4	ä̃ʁä		-lä-š		-rö		ä̃			тело (человека, животного)	голова и шея	
6	ухо	бежх	4	äʁä		-(lä)-š // -li-s		-rö		ä			тело (человека, животного)	голова и шея	
6	ухо	гунз	4	ãʁa		-la-s		-r		ã			тело (человека, животного)	голова и шея	
6	ухо	цез	4	aʜja		-s		-bi		a			тело (человека, животного)	голова и шея	
6	ухо	гин	4	aχχa		-s				a			тело (человека, животного)	голова и шея	
6	ухо	лак	4	wič'i		-lu-l		wič'i	w				тело (человека, животного)	голова и шея	
6	ухо	арч	4	oj	-li			-om		o			тело (человека, животного)	голова и шея	
6	ухо	рутл	4	ubur	ubr-u-r			ubr-abɨr		u			тело (человека, животного)	голова и шея	
6	ухо	цах	4	k'ɨrɨ			-j-i-s // k'ɨr-iː-s	-bɨ	k'				тело (человека, животного)	голова и шея	
6	ухо	цахг	4	k'ɨrɨ // k'ɨre					k'				тело (человека, животного)	голова и шея	
6	ухо	цахц	4	k'ɨrɨ					k'				тело (человека, животного)	голова и шея	
6	ухо	крыз	4	ibɨr		-ä		ibr-im		i			тело (человека, животного)	голова и шея	
6	ухо	буд	4	ibir			ibr-i-z	ibr-ime-r		i			тело (человека, животного)	голова и шея	
6	ухо	хин	3	t'op	t'up-i			t'up-o-mzɨr	t'				тело (человека, животного)	голова и шея	
7	лицо	анд	4	riži	-llo-di			riž-obdu-l	r				тело (человека, животного)	голова и шея	
7	лицо	чам	3	baj	-d			-be	b				тело (человека, животного)	голова и шея	
7	лицо	чамг	3	χunχu	-di			χunχ-abi	χ				тело (человека, животного)	голова и шея	
7	лицо	инх	4	χ1uχ1		-u-s		-bo	χ				тело (человека, животного)	голова и шея	
7	лицо	бежт	3	mot'o		-li-s		-ra // -rol	m				тело (человека, животного)	голова и шея	
7	лицо	бежх	3	mot'o		-s		-ra	m				тело (человека, животного)	голова и шея	
7	лицо	гунз	3	mot'o		-li-s		-wa	m				тело (человека, животного)	голова и шея	
7	лицо	цез	4	ʜuʜ		-re-s		-bi	ʜ				тело (человека, животного)	голова и шея	
7	лицо	гин	4	χuχ		-a-s			χ				тело (человека, животного)	голова и шея	
7	лицо	лак	4	lažin		-dara-l		-tru	l				тело (человека, животного)	голова и шея	
7	лицо	арч	4	ma1mərči	-li			-tːu	m				тело (человека, животного)	голова и шея	
7	лицо	рутл	4	xesɨm	-a-r			-bɨr	x				тело (человека, животного)	голова и шея	
7	лицо	цах	4	aq'ʷa			aq'ʷaː-s	-bɨ		a			тело (человека, животного)	голова и шея	
7	лицо	цахг	4	aq'ʷa						a			тело (человека, животного)	голова и шея	
7	лицо	цахц	3	aq'ʷa						a			тело (человека, животного)	голова и шея	
7	лицо	крыз	3	iǯin		-ä		-bi		i			тело (человека, животного)	голова и шея	
7	лицо	буд	3	iǯin			-i-z	iǯim-be-r		i			тело (человека, животного)	голова и шея	
7	лицо	хин	3	iǯi	iž-i			iž-a-bɨr		i			тело (человека, животного)	голова и шея	
8	щека	анд	5	gʷorzu	-llo-di			gʷorz-obi-l	gʷ				тело (человека, животного)	голова и шея	
8	щека	чам	5	č'elʷ	č'el-u-d			-a-be	č'				тело (человека, животного)	голова и шея	
8	щека	чамг	5	č'ilu	-di			č'il-abi	č'				тело (человека, животного)	голова и шея	
8	щека	инх	4	χ1uχ1		-u-s		-bo	χ		=лицо		тело (человека, животного)	голова и шея	
8	щека	бежт	3	gugaro		-li-s // gugar-a-s		-wa	g		выпуклость щеки		тело (человека, животного)	голова и шея	
8	щека	бежх	3	gogaro		gogar-a-s		gogar-a-ro	g				тело (человека, животного)	голова и шея	
8	щека	гунз	3	gogor		-a-s		-a	g				тело (человека, животного)	голова и шея	
8	щека	цез	4	ʜuʜ		-re-s		-bi	ʜ		=лицо		тело (человека, животного)	голова и шея	
8	щека	гин	4	χuχ		-a-s			χ		=лицо		тело (человека, животного)	голова и шея	
8	щека	лак	4	č'aw		-ra-l		-rdu	č'				тело (человека, животного)	голова и шея	
8	щека	арч	4	eχ1	eχː1-i			eχː1-ut		e			тело (человека, животного)	голова и шея	
8	щека	рутл	3	dan	-a-r			dam-bɨr	d				тело (человека, животного)	голова и шея	
8	щека	цах	3	dan			-ɨ-s	dam-mɨ	d				тело (человека, животного)	голова и шея	
8	щека	цахг	3	dan					d				тело (человека, животного)	голова и шея	
8	щека	цахц	3	dan					d				тело (человека, животного)	голова и шея	
8	щека	крыз	3	k'ʷat'in		-ä		k'ʷat'im-bi	k'ʷ				тело (человека, животного)	голова и шея	
8	щека	буд	3	k'ut'un			-u-z	k'ut'um-be-r	k'				тело (человека, животного)	голова и шея	
8	щека	хин	3	t'uk'un	-i			-dur	t'				тело (человека, животного)	голова и шея	
9	нос	анд	5	mahar	-u-di			-du-l	m				тело (человека, животного)	голова и шея	
9	нос	чам	3	maj	-d			-be	m				тело (человека, животного)	голова и шея	
9	нос	чамг	3	mara	-di			-mar-ib	m				тело (человека, животного)	голова и шея	
9	нос	инх	3	ma1ne		-s		-bo	m				тело (человека, животного)	голова и шея	
9	нос	бежт	3	märö		mär-ä-š		-dä	m				тело (человека, животного)	голова и шея	
9	нос	бежх	3	märö		mär-ä-š		-dä	m				тело (человека, животного)	голова и шея	
9	нос	гунз	3	maru		mar-a-s		-wa	m				тело (человека, животного)	голова и шея	
9	нос	цез	3	ma1li		-s		-bi	m				тело (человека, животного)	голова и шея	
9	нос	гин	3	malu		-s			m				тело (человека, животного)	голова и шея	
9	нос	лак	3	maj		-ra-l		-rdu	m				тело (человека, животного)	голова и шея	
9	нос	арч	3	muč	-li			muš-q'1ul	m				тело (человека, животного)	голова и шея	
9	нос	рутл	3	xexy	-i-r			-bɨr	x				тело (человека, животного)	голова и шея	
9	нос	цах	4	quš			-e-s	-bɨ	q				тело (человека, животного)	голова и шея	
9	нос	цахг	3	qow					q				тело (человека, животного)	голова и шея	
9	нос	цахц	4	quš					q				тело (человека, животного)	голова и шея	
9	нос	крыз	3	miʔěl		-ä		-bi	m				тело (человека, животного)	голова и шея	
9	нос	буд	3	meʔel			-i-z	-be-r	m				тело (человека, животного)	голова и шея	
9	нос	хин	3	k'ɨtɨr	-i			-dɨr	k'				тело (человека, животного)	голова и шея	
10	клюв	анд	5	mahar	-u-di			-du-l	m		=нос		тело (человека, животного)	голова и шея	
10	клюв	чам	3	maj	-d			-be	m		=нос		тело (человека, животного)	голова и шея	
10	клюв	чамг	3	q'ama	-di			q'am-ib // q'am-i	q'		=петушиный гребень		тело (человека, животного)	голова и шея	
10	клюв	инх	5	ma1ʟ'u		-s		-bo	m				тело (человека, животного)	голова и шея	
10	клюв	бежт	3	möʟ'ö		-dä-š // möʟ'-i-š		-dä	m				тело (человека, животного)	голова и шея	
10	клюв	бежх	3	möʟ'ö		-li-s		-rä	m				тело (человека, животного)	голова и шея	
10	клюв	гунз	3	moʟ'o		moʟ'-a-s		-wa	m				тело (человека, животного)	голова и шея	
10	клюв	цез	3	bu1ʟ'i		-s		-bi	b				тело (человека, животного)	голова и шея	
10	клюв	гин	2	miʟ'u		-s			m				тело (человека, животного)	голова и шея	
10	клюв	лак	3	qː1ipːi		qː1ipː-u-l		qː1ip-ri // qː1ip-ru	qː				тело (человека, животного)	голова и шея	
10	клюв	арч	3	muč	-li			muš-q'1ul	m		=нос		тело (человека, животного)	голова и шея	
10	клюв	рутл	4	k'uxy	-i-r			-bɨr	k'				тело (человека, животного)	голова и шея	
10	клюв	цах	4	k'uxy			-e-s	-eː-r	k'				тело (человека, животного)	голова и шея	
10	клюв	цахг	3	bok'					b		=губа		тело (человека, животного)	голова и шея	
10	клюв	цахц	4	k'uxy					k'				тело (человека, животного)	голова и шея	
10	клюв	крыз	3	dindiʁ		-ǯi		-är	d				тело (человека, животного)	голова и шея	
10	клюв	буд	3	dindiʁ			-ǯi-z	-er	d				тело (человека, животного)	голова и шея	
10	клюв	хин	3	dindiʁ	-i			-indir	d				тело (человека, животного)	голова и шея	
11	рот	анд	5	k'ol	-lo-di			-ibo-l	k'				тело (человека, животного)	голова и шея	
11	рот	чам	4	el-mis'						e	|el+язык|	1	тело (человека, животного)	голова и шея	
11	рот	чамг	4	el-mic'i						e	|внешняя сторона рта (eli) + язык|	1	тело (человека, животного)	голова и шея	
11	рот	инх	5	ma1ʟ'u					m		внешняя часть = клюв, губа		тело (человека, животного)	голова и шея	
11	рот	инх	4	zɨze		-s		NA	z		внутренняя часть		тело (человека, животного)	голова и шея	
11	рот	бежт	5	šik'ö		šik'-ä-š		-rä	š				тело (человека, животного)	голова и шея	
11	рот	бежх	5	sik'o		-(li)-s		-ra // -da	s				тело (человека, животного)	голова и шея	
11	рот	гунз	5	šik'u		šik'-a-s		-wa	š		внешняя часть		тело (человека, животного)	голова и шея	
11	рот	гунз	5	qašu		qaš-a-s		-wa	q		внутренняя часть		тело (человека, животного)	голова и шея	
11	рот	цез	4	hut'		-re-s		-bi	h		внешняя часть		тело (человека, животного)	голова и шея	
11	рот	цез	2	haqu || haqa		haqu-s		haqu-bi	h		внутренняя часть		тело (человека, животного)	голова и шея	
11	рот	гин	3	hut'		-e-s			h		внешняя часть		тело (человека, животного)	голова и шея	
11	рот	гин	4	haqu		haqa-s			h		внутренняя часть		тело (человека, животного)	голова и шея	
11	рот	лак	3	q'ac'		-li-l		-ru	q'		внешняя часть		тело (человека, животного)	голова и шея	
11	рот	лак	3	zumalu		-ldi-l		NA	z		внутренняя часть		тело (человека, животного)	голова и шея	
11	рот	арч	4	sːob	-li			-ot	sː				тело (человека, животного)	голова и шея	
11	рот	рутл	4	ǧal	-i-r			-bɨr	ǧ				тело (человека, животного)	голова и шея	
11	рот	цах	4	ǧaly			-ɨ-s	-bɨ	ǧ				тело (человека, животного)	голова и шея	
11	рот	цахг	4	ǧaly					ǧ		внутренняя часть		тело (человека, животного)	голова и шея	
11	рот	цахц	4	ǧaly					ǧ		внутренняя часть		тело (человека, животного)	голова и шея	
11	рот	крыз	4	siv		-i		-ri	sː				тело (человека, животного)	голова и шея	
11	рот	буд	4	siv			-i-z	-ri	sː				тело (человека, животного)	голова и шея	
11	рот	хин	3	aʁzɨ	aʁz-i			-d		a			тело (человека, животного)	голова и шея	
12	губа	анд	5	sim	-o-di			-mu-l	s				тело (человека, животного)	голова и шея	
12	губа	чам	5	kočul	-(a)-d			-di	k				тело (человека, животного)	голова и шея	
12	губа	чамг	5	kučul	-a-di			kuč-abi // kuču-dir	k				тело (человека, животного)	голова и шея	
12	губа	инх	5	ma1ʟ'u					m		=клюв, рот		тело (человека, животного)	голова и шея	
12	губа	бежт	3	poro		-li-s		-da	p		губы и часть лица вокруг губ		тело (человека, животного)	голова и шея	
12	губа	бежх	3	poro		-li-s // -da-s		-da	p				тело (человека, животного)	голова и шея	
12	губа	гунз	3	poro		-li-s		-wa	p				тело (человека, животного)	голова и шея	
12	губа	цез	2	ʟ'epu		-s		ʟ'ep-ja-bi	ʟ'				тело (человека, животного)	голова и шея	
12	губа	гин	2	ʟ'epu		ʟ'ep-a-s			ʟ'				тело (человека, животного)	голова и шея	
12	губа	лак	4	murčːʷi		murčːʷ-u-l		murčːʷ-iː	m				тело (человека, животного)	голова и шея	
12	губа	арч	3	k'ʷet'	-li			-q'ul // -ur	k'ʷ				тело (человека, животного)	голова и шея	
12	губа	рутл	4	p'ɨz	-ɨ-r			-bɨr	p'				тело (человека, животного)	голова и шея	
12	губа	цах	4	pɨšnyɨ			-j-ɨ-s // pɨšn-iː-s	-bɨ	p				тело (человека, животного)	голова и шея	
12	губа	цахг	4	p'ɨz					p'				тело (человека, животного)	голова и шея	
12	губа	цахг	3	bok'					b		губы и часть лица вокруг губ		тело (человека, животного)	голова и шея	
12	губа	цахц	4	pɨšnyɨ || pušnyɨ					p				тело (человека, животного)	голова и шея	
12	губа	крыз	4	pěk'		-il		-rim	p				тело (человека, животного)	голова и шея	
12	губа	буд	4	pək'			-ɨlɨ-z	-ri	p				тело (человека, животного)	голова и шея	
12	губа	хин	3	t'al		t'aly-i		-dɨr	t'				тело (человека, животного)	голова и шея	
13	подбородок	анд	4	žuna	-llo-di			žun-ibo-l	ž				тело (человека, животного)	голова и шея	
13	подбородок	чам	5	mizat'ʷ	mizat'-u-d			-be	m		=борода		тело (человека, животного)	голова и шея	
13	подбородок	чамг	3	kučaʟi	-di			kučaʟ-ib	k				тело (человека, животного)	голова и шея	
13	подбородок	инх	5	č'eč'en		-a-s		-a-ba	č'				тело (человека, животного)	голова и шея	
13	подбородок	бежт	4	č'ič'inä		-(li)-š		-rö	č'				тело (человека, животного)	голова и шея	
13	подбородок	бежх	4	c'ic'ina		-(li)-s		-ro	c'				тело (человека, животного)	голова и шея	
13	подбородок	гунз	4	kocor		-a-s		-a	k				тело (человека, животного)	голова и шея	
13	подбородок	цез	2	č'ič'in		-o-s		-a-bi	č'				тело (человека, животного)	голова и шея	
13	подбородок	гин	4	č'ič'inu		-s			č'				тело (человека, животного)	голова и шея	
13	подбородок	лак	3	lultːumak'		-ra-l		-ru	l		< lultːu bak' снизу голова	1	тело (человека, животного)	голова и шея	
13	подбородок	арч	3	ʟ'ir-gʷarči					ʟ'		|внизу желоб|	1	тело (человека, животного)	голова и шея	
13	подбородок	рутл	4	q'ac'	-ɨlɨ-r			-bɨr	q'				тело (человека, животного)	голова и шея	
13	подбородок	цах	4	q'ac'			-ɨ-s	-bɨ	q'				тело (человека, животного)	голова и шея	
13	подбородок	цахг	4	q'ac'					q'				тело (человека, животного)	голова и шея	
13	подбородок	цахц	4	q'ac'					q'				тело (человека, животного)	голова и шея	
13	подбородок	крыз	4	čěnä		-ǯi		čan-ar	č				тело (человека, животного)	голова и шея	
13	подбородок	буд	4	čänä		-ǯi-z		-rbe-r	č				тело (человека, животного)	голова и шея	
13	подбородок	хин	3	čänä	čän-i			-d	č				тело (человека, животного)	голова и шея	
14	челюсть	анд	5	č'amč'al	-u-di			-o-l	č'				тело (человека, животного)	голова и шея	
14	челюсть	чам	3	erʟʷ	erʟ-u-d			-a-be		e			тело (человека, животного)	голова и шея	
14	челюсть	чамг	3	erʟi	-di			erʟ-ib		e			тело (человека, животного)	голова и шея	
14	челюсть	инх	PL	č'eč'enaba				č'eč'enaba	č'		нет Sg, Pl от формы č'eč'en подбородок		тело (человека, животного)	голова и шея	
14	челюсть	бежт	4	ʟ'aqa		-(li)-s // -(da)-s		-ro	ʟ'				тело (человека, животного)	голова и шея	
14	челюсть	бежх	4	ʟ'aqa		-(li)-s		-ro // -da	ʟ'				тело (человека, животного)	голова и шея	
14	челюсть	гунз	4	ʟ'aqa		-li-s		-r	ʟ'				тело (человека, животного)	голова и шея	
14	челюсть	цез	2	č'ič'in		-o-s		-a-bi	č'		=подбородок		тело (человека, животного)	голова и шея	
14	челюсть	гин	3	ʟ'aqa		-s			ʟ'				тело (человека, животного)	голова и шея	
14	челюсть	лак	4	χːinču		-lu-l		-rdu	χː				тело (человека, животного)	голова и шея	
14	челюсть	арч	4	čarχ	-li			-um	č				тело (человека, животного)	голова и шея	
14	челюсть	рутл	4	čana	čani-ji-r			-bɨr	č				тело (человека, животного)	голова и шея	
14	челюсть	цах	4	čene			-j-ɨ-s	-bɨ	č				тело (человека, животного)	голова и шея	
14	челюсть	цахг	4	čene					č				тело (человека, животного)	голова и шея	
14	челюсть	цахц	4	čene					č				тело (человека, животного)	голова и шея	
14	челюсть	крыз	4	čěnäǯ q'ul		-ɨrdɨ // -ir		-im	č		|подбородка крышка|	1	тело (человека, животного)	голова и шея	
14	челюсть	буд	4	čänä			-ǯi-z	-rbe-r	č		=подбородок		тело (человека, животного)	голова и шея	
14	челюсть	хин	3	čänä	čän-i			-d	č		=подбородок		тело (человека, животного)	голова и шея	
15	язык	анд	5	mic'ːi	-llo-di			mic'ː-adu-l	m				тело (человека, животного)	голова и шея	
15	язык	чам	3	mis'	-i-d			-a-be	m				тело (человека, животного)	голова и шея	
15	язык	чамг	3	mic'i	-di			mic'-ib	m				тело (человека, животного)	голова и шея	
15	язык	инх	3	mɨc		-no-s		-no-bo	m				тело (человека, животного)	голова и шея	
15	язык	бежт	3	mic		-a-s		-ala	m				тело (человека, животного)	голова и шея	
15	язык	бежх	3	mic		-a-s // -li-s		-a	m				тело (человека, животного)	голова и шея	
15	язык	гунз	3	mɨc		-a-s		-la	m				тело (человека, животного)	голова и шея	
15	язык	цез	3	mec		-re-s		NA	m				тело (человека, животного)	голова и шея	
15	язык	гин	3	mec		-ro-s			m				тело (человека, животного)	голова и шея	
15	язык	лак	3	maz		-ra-l		-ru	m				тело (человека, животного)	голова и шея	
15	язык	арч	3	mac	-li			-mul	m				тело (человека, животного)	голова и шея	
15	язык	рутл	3	miz	-i-r			-bɨr	m				тело (человека, животного)	голова и шея	
15	язык	цах	3	miz			-e-s	-eː-r	m				тело (человека, животного)	голова и шея	
15	язык	цахг	3	miz					m				тело (человека, животного)	голова и шея	
15	язык	цахц	3	miz					m				тело (человека, животного)	голова и шея	
15	язык	крыз	3	mez		-il // miz		-ri	m				тело (человека, животного)	голова и шея	
15	язык	буд	3	mäz || mez			mäz-ili-z	mäz-ri	m				тело (человека, животного)	голова и шея	
15	язык	хин	3	mic'	-i			-ɨrdɨr // -i-bir	m				тело (человека, животного)	голова и шея	
16	десна	анд	5	tomil	-u-di			-o-l	t				тело (человека, животного)	голова и шея	
16	десна	чам	3	tama	tam-u-d			tam-e	t				тело (человека, животного)	голова и шея	
16	десна	чамг	3	tama	tam-a-di // tam-i-di			tam-ib	t				тело (человека, животного)	голова и шея	
16	десна	инх	3	zɨmor		-a-s		-a-ba	z				тело (человека, животного)	голова и шея	
16	десна	бежт	3	č'imät'ö		č'imät'-ä-š		č'imät'-ä	č'				тело (человека, животного)	голова и шея	
16	десна	бежх	3	c'imac'		-li-s		-ba	c'				тело (человека, животного)	голова и шея	
16	десна	гунз	3	č'emat'		-a-s		-a	č'				тело (человека, животного)	голова и шея	
16	десна	цез	3	cemori		cemor-a-s		cemor-bi	c				тело (человека, животного)	голова и шея	
16	десна	гин	4	somore		-s			s				тело (человека, животного)	голова и шея	
